Type of Hemp Business,Name of Primary Contact,Name of Hemp Company,Company town,Company state,Company zip code,Title,Phone Number,Email ,Username,Password
Hemp Concrete,Melody Powell,Hendricks Group,Davishaven,AL,93483,Chief Financial Officer,(679) 394-3596,paley@hotmail.com,outragedcurrants,ZA4Eb>t$
Hemp Oil,Kristina Perez,Bernard Ltd,New Matthewshire,SC,74799,Chief Cultivator,(731) 700-2925,starstuff@comcast.net,infuriatedhalibut,$XB)9f)H
Hemp Protein,Jill Barnes DVM,Tanner-Jenkins,Smithborough,WY,34944,Chief Cultivator,(275) 497-2735,debest@gmail.com,sadtacos,tjU>X>k2
Hemp Paper,Lonnie Gordon MD,Bailey PLC,Brownmouth,GA,90773,Chief Marketing Officer,(345) 428-1286,kdawson@verizon.net,abandonedlimes,@JDLmW7X
Hemp Seed,Taylor Lamb,"King, Walker and Rivas",Lake Denisetown,KS,72075,Chief Cultivator,(248) 829-1243,aaribaud@comcast.net,hopefulcranberries,VgTDw]w6
Hemp Concrete,Elizabeth Smith,Allen-Williams,Cassandratown,WY,70567,Founder,(593) 926-9180,barnett@msn.com,blissfulpear,%U=bU6G!!
Hemp Protein,Debra Richardson,Dunn PLC,West Janettown,HI,39040,Chief Marketing Officer,(459) 499-0219,dwendlan@comcast.net,worriedsauerkraut,E?}7ThgP
Hemp Textiles,John Johnson,Mendez-Wilson,Lake Kevinbury,UT,14839,Founder,(932) 507-6666,amimojo@comcast.net,drearycupcake,A&4*}SDz
Hemp Protein,Shannon Short,"Harrison, Arias and Lopez",Sharonville,MI,96500,Founder,(625) 885-1343,magusnet@att.net,confusedsaffron,D[x4T=8@
Hemp Seed,Darren Smith,Lane-Hayes,Chelseafurt,ID,43522,Founder,(250) 831-6837,telbij@gmail.com,ambitioustomatoe,aa_.T2hY
Hemp Fiber,Casey Crawford,Smith Ltd,Lake Mark,NV,07050,Chief Financial Officer,(813) 314-8894,torgox@me.com,courageouspastie,Dpnz&2SE
Hemp Seed,Linda Miller,Gutierrez-Hamilton,Danielleburgh,NM,80393,Chief Cultivator,(259) 526-3162,boein@hotmail.com,betrayedsafflower,d*Rn]9.}
Hemp Plastics,Kelly Diaz,Campbell-Williamson,Roseburgh,AZ,91885,Chief Cultivator,(843) 560-6825,pajas@icloud.com,humiliatedtreacle,*F44Y35m
Hemp Protein,Katie Smith,"Price, Alexander and Young",Gutierrezville,CO,48588,Chief Marketing Officer,(565) 679-2962,scarlet@gmail.com,proudlard,(h_V7p2X
Hemp Oil,Ashley Jones,Figueroa-Burton,Michaelshire,WV,49726,Chief Cultivator,(213) 499-3917,rddesign@verizon.net,petrifiedsausage,*-b37bF3
Hemp Textiles,Jesse Rodriguez,Nguyen and Sons,Port Andrea,KY,20348,Founder,(662) 254-6834,skippy@outlook.com,cautiouspesto,gmy(K3z.
Hemp Oil,Bailey Hayden,Stout-Smith,Port Dawn,LA,98524,Chief Marketing Officer,(897) 951-8624,amichalo@yahoo.ca,guiltyflatbread,shV5>T-B
Hemp Oil,Paul Hale,Smith LLC,North Caleb,ND,70535,Founder,(939) 407-1927,noodles@comcast.net,gayeggs,Gb8PeP]N
Hemp Protein,Michael Cardenas,Miller-Valdez,New Seanhaven,RI,80734,Founder,(352) 628-1114,fbriere@att.net,lustfulcrackers,A3FvsyT-
Hemp Textiles,Natalie Hendrix,Snyder-Saunders,Randyland,RI,21213,Founder,(396) 947-1468,andrewik@me.com,hurtabalone,49cWmkc+
Hemp Paper,Brianna Chambers,Hoffman-Dodson,New Sabrinaport,KS,36813,Chief Financial Officer,(419) 678-1991,arnold@verizon.net,eagerkidney,y/XN)9e2
Hemp Oil,Benjamin Rhodes MD,Kline-Nelson,Lisaborough,MI,76910,Chief Cultivator,(361) 522-0622,yangyan@aol.com,sensualguacamole,_Fa8Bz.K
Hemp Fiber,Mary Mendez,"Adams, Brown and Schneider",North Aaronchester,NV,64992,Chief Marketing Officer,(731) 569-9354,gommix@hotmail.com,offendedcheddar,@-&c8C?G
Hemp Fiber,Jeremy Smith,Russell-Wilson,Duncanfurt,TX,40346,Founder,(678) 385-0676,suresh@mac.com,patheticdoughnut,uK-9p_U-
Hemp Paper,Carla Yang,Johnson Inc,Nicoletown,AL,21222,Founder,(495) 417-5372,gfxguy@live.com,gratifiedcapers,8Fqsjm&Q
Hemp Oil,Megan Stanley,"Mills, Quinn and James",West Joshua,AL,17428,Founder,(677) 842-1158,moxfulder@icloud.com,hystericalcardamom,3eXMLar?
Hemp Fiber,Andrea Dickerson,"Miller, Jarvis and Dean",Karenton,HI,39967,Chief Financial Officer,(357) 712-8449,bmorrow@hotmail.com,jealousquiche,q3U{eB@)
Hemp Oil,Karen Marquez,"Wright, Richards and Mayer",Johnsonfurt,VA,48348,Chief Cultivator,(321) 994-2565,sherzodr@outlook.com,sensitivefennel,Ggb*b7(H
Hemp Textiles,Savannah Cherry,"Williams, Livingston and Weaver",West Annchester,WV,70090,Chief Cultivator,(229) 443-7253,jonadab@yahoo.com,giddyjerky,(br.G&8e
Hemp Oil,Erik Walker,Bailey-Campbell,Sandersport,CA,82416,Chief Marketing Officer,(920) 691-5693,fraser@att.net,shamefulchervil,f3Y=-z)U
Hemp Textiles,Caleb Ward,Martinez-Williams,Port Christina,IA,26343,Chief Cultivator,(238) 239-9457,webteam@icloud.com,leekssteer,xD%Qkb37
Hemp Concrete,Linda Burgess,Bryant Ltd,Lake Andrew,ND,90057,Founder,(414) 662-7201,martink@hotmail.com,eatablenap,f4s(B%DR
Hemp Protein,Wendy Hebert,Boyd Ltd,West Lisa,WI,60939,Chief Marketing Officer,(374) 271-7981,research@icloud.com,quickestoceanic,@DW44pX9
Hemp Seed,Jonathan Wright,Wilson-Colon,Turnerville,MD,36391,Founder,(702) 526-5474,madanm@icloud.com,lionarmor,%^3t+G^K
Hemp Textiles,Eric Stone,Ochoa Ltd,Boydton,MO,11001,Founder,(882) 252-6526,klaudon@comcast.net,pigeondelighted,_9]PwmQU
Hemp Textiles,Denise Anthony,"Rodriguez, Hunt and Lawrence",South Elizabeth,AL,12670,Founder,(621) 669-5326,kaiser@hotmail.com,olympicsunwritten,7p[&C3}Q
Hemp Seed,Brittany Keller,"Ruiz, Thompson and Gomez",Jenniferhaven,OR,96932,Chief Financial Officer,(696) 694-3305,mthurn@yahoo.com,uttermostbars,s5[8m/P.
Hemp Fiber,Katelyn Shields,"Sanders, Perkins and Deleon",Lake Kristy,MD,58522,Chief Cultivator,(441) 381-1095,trieuvan@mac.com,termitespoke,jcV8B+V%
